Source,Period,Validation rule,Importance,Left side description,Value,Operator,Value,Right side description
Bai Largo MCHP,September 2020,"LMIS_HIV/AIDS HIV 1 & 2 Rapid Test Kit, SD Bioline - Quantity Dispensed (D)  Validation",Medium,"LMIS_HIV/AIDS HIV 1 & 2 Rapid Test Kit, SD Bioline  - Quantity Dispensed (D)",8.0,<=,0.0,"LMIS_HIV/AIDS HIV 1 & 2 Rapid Test Kit, SD Bioline - Opening Balance (A) + LMIS_HIV/AIDS HIV 1 & 2 Rapid Test Kit, SD Bioline  - Quantity Received (B) + LMIS_HIV/AIDS HIV 1 & 2 Rapid Test Kit, SD Bioline - Losses / Adjustments (C)"
Bai Largo MCHP,September 2020,"Vitamin A 200,000 IU (Red), Cap - Quantity Dispensed (D) Validation",Medium,"Vitamin A 200,000 IU (Red), Cap - Quantity Dispensed (D)",30.0,<=,0.0,"Vitamin A 200,000 IU (Red), Cap - Opening Balance (A) + Vitamin A 200,000 IU (Red), Cap - Quantity Received (B) + Vitamin A 200,000 IU (Red), Cap - Losses / Adjustments (C)"
Bai Largo MCHP,September 2020,"Vitamin A 100,000 IU (Blue), Caps - Quantity Dispensed (D) Validation",Medium,"Vitamin A 100,000 IU (Blue), Caps - Quantity Dispensed (D)",60.0,<=,0.0,"Vitamin A 100,000 IU (Blue), Caps - Opening Balance (A) + Vitamin A 100,000 IU (Blue), Caps - Quantity Received (B) + Vitamin A 100,000 IU (Blue), Caps - Losses / Adjustments (C)"
Bai Largo MCHP,September 2020,"LMIS_EM&CONS Compound Sodium (Ringer's) Lactate 0.25%, Infusion, 500ml, Soft Bag  - Quantity Dispensed (D) Validation",Medium,"LMIS_EM&CONS Compound Sodium (Ringer's) Lactate 0.25%, Infusion, 500ml, Soft Bag  - Quantity Dispensed (D)",20.0,<=,0.0,"LMIS_EM&CONS Compound Sodium (Ringer's) Lactate 0.25%, Infusion, 500ml, Soft Bag - Opening Balance (A) + LMIS_EM&CONS Compound Sodium (Ringer's) Lactate 0.25%, Infusion, 500ml, Soft Bag  - Quantity Received (B) + LMIS_EM&CONS Compound Sodium (Ringer's) La"
Bai Largo MCHP,September 2020,"LMIS_MAL Sulphadoxine & Pyrimethamine 500mg & 25mg, Tab - Quantity Dispensed (D) Validation",Medium,"LMIS_MAL Sulphadoxine & Pyrimethamine 500mg & 25mg, Tab - Quantity Dispensed (D)",66.0,<=,0.0,"LMIS_MAL Sulphadoxine & Pyrimethamine 500mg & 25mg, Tab - Opening Balance (A) + LMIS_MAL Sulphadoxine & Pyrimethamine 500mg & 25mg, Tab - Quantity Received (B) + LMIS_MAL Sulphadoxine & Pyrimethamine 500mg & 25mg, Tab - Losses / Adjustments (C)"
Bai Largo MCHP,September 2020,"LMIS_HIV/AIDS HIV 1 & 2 Rapid Test Kit, Determine - Quantity Dispensed (D)  Validation",Medium,"LMIS_HIV/AIDS HIV 1 & 2 Rapid Test Kit, Determine  - Quantity Dispensed (D)",10.0,<=,0.0,"LMIS_HIV/AIDS HIV 1 & 2 Rapid Test Kit, Determine - Opening Balance (A) + LMIS_HIV/AIDS HIV 1 & 2 Rapid Test Kit, Determine  - Quantity Received (B) + LMIS_HIV/AIDS HIV 1 & 2 Rapid Test Kit, Determine - Losses / Adjustments (C)"
Bauya (Kongbora) CHC,September 2020,"LMIS_MAL Artemether & Lumefantrine (ACT) 20mg & 120mg, 6 Tabs - Quantity Dispensed (D) Validation",Medium,"LMIS_MAL Artemether & Lumefantrine (ACT) 20mg & 120mg, 6 Tabs - Quantity Dispensed (D)",10.0,<=,0.0,"LMIS_MAL Artemether & Lumefantrine (ACT) 20mg & 120mg, 6 Tabs - Opening Balance (A) + LMIS_MAL Artemether & Lumefantrine (ACT) 20mg & 120mg, 6 Tabs - Quantity Received (B) + LMIS_MAL Artemether & Lumefantrine (ACT) 20mg & 120mg, 6 Tabs - Losses / Adjustme"
Bauya (Kongbora) CHC,September 2020,"LMIS_MAL Artemether & Lumefantrine (ACT) 20mg & 120mg, 24 Tabs - Quantity Dispensed (D) Validation",Medium,"LMIS_MAL Artemether & Lumefantrine (ACT) 20mg & 120mg, 24 Tabs - Quantity Dispensed (D)",10.0,<=,0.0,"LMIS_MAL Artemether & Lumefantrine (ACT) 20mg & 120mg, 24 Tabs - Opening Balance (A) + LMIS_MAL Artemether & Lumefantrine (ACT) 20mg & 120mg, 24 Tabs - Quantity Received (B) + LMIS_MAL Artemether & Lumefantrine (ACT) 20mg & 120mg, 24 Tabs - Losses / Adjus"
Bauya (Kongbora) CHC,September 2020,"LMIS_MAL Sulphadoxine & Pyrimethamine 500mg & 25mg, Tab - Quantity Dispensed (D) Validation",Medium,"LMIS_MAL Sulphadoxine & Pyrimethamine 500mg & 25mg, Tab - Quantity Dispensed (D)",10.0,<=,0.0,"LMIS_MAL Sulphadoxine & Pyrimethamine 500mg & 25mg, Tab - Opening Balance (A) + LMIS_MAL Sulphadoxine & Pyrimethamine 500mg & 25mg, Tab - Quantity Received (B) + LMIS_MAL Sulphadoxine & Pyrimethamine 500mg & 25mg, Tab - Losses / Adjustments (C)"
Bauya (Kongbora) CHC,September 2020,"LMIS_TB/LEP Rifampicin & Clofazimine & Dapsone 600mg & 100mg & 50mg, Tab/Cap (MDT MB Adult)  - Quantity Dispensed (D) Validation",Medium,"LMIS_TB/LEP Rifampicin & Clofazimine & Dapsone 600mg & 100mg & 50mg, Tab/Cap (MDT MB Adult)  - Quantity Dispensed (D)",388.0,<=,0.0,"LMIS_TB/LEP Rifampicin & Clofazimine & Dapsone 600mg & 100mg & 50mg, Tab/Cap (MDT MB Adult) - Opening Balance (A) + LMIS_TB/LEP Rifampicin & Clofazimine & Dapsone 600mg & 100mg & 50mg, Tab/Cap (MDT MB Adult)  - Quantity Received (B) + LMIS_TB/LEP Rifampic"
